GRP,SPECIES_ID,ALPHA_CODE,SPECIES_NAME,SCIENTIFIC_NAME
_20,1160,RFBO,Red-footed Booby,Sula sula
_20,1141,BFBO,Blue-footed Booby,Sula nebouxii
_20,1170,NOGA,Northern Gannet,Morus bassanus
_20,1150,BRBO,Brown Booby,Sula leucogaster
_20,1180,ANHI,Anhinga,Anhinga anhinga
_20,1220,BRAC,Brandt's Cormorant,Urile penicillatus
_20,1240,RFCO,Red-faced Cormorant,Urile urile
_20,1230,PECO,Pelagic Cormorant,Urile pelagicus
_20,1190,GRCO,Great Cormorant,Phalacrocorax carbo
_20,1200,DCCO,Double-crested Cormorant,Nannopterum auritum
_20,1210,NECO,Neotropic Cormorant,Nannopterum brasilianum
_20,1201,GUCO,Guanay Cormorant,Leucocarbo bougainvillii
_20,8541,BECO,Blue-eyed Cormorant,Leucocarbo atriceps
_20,1250,AWPE,American White Pelican,Pelecanus erythrorhynchos
_20,1260,BRPE,Brown Pelican,Pelecanus occidentalis
_20,1900,AMBI,American Bittern,Botaurus lentiginosus
_20,1911,YEBI,Yellow Bittern,Ixobrychus sinensis
_20,1910,LEBI,Least Bittern,Ixobrychus exilis
_20,1940,GBHE,Great Blue Heron,Ardea herodias
_20,1920,GWHE,Great White Heron,Ardea herodias occidentalis
_20,1960,GREG,Great Egret,Ardea alba
_20,1969,PRHE,Pacific Reef Heron,Egretta sacra
_20,1970,SNEG,Snowy Egret,Egretta thula
_20,2000,LBHE,Little Blue Heron,Egretta caerulea
_20,1990,TRHE,Tricolored Heron,Egretta tricolor
_20,1980,REEG,Reddish Egret,Egretta rufescens
_20,2001,CAEG,Cattle Egret,Bubulcus ibis
_20,2010,GRHE,Green Heron,Butorides virescens
_20,2020,BCNH,Black-crowned Night-Heron,Nycticorax nycticorax
_20,2030,YCNH,Yellow-crowned Night-Heron,Nyctanassa violacea
_20,1840,WHIB,White Ibis,Eudocimus albus
_20,1850,SCIB,Scarlet Ibis,Eudocimus ruber
_20,1860,GLIB,Glossy Ibis,Plegadis falcinellus
_20,1870,WFIB,White-faced Ibis,Plegadis chihi
_20,1830,ROSP,Roseate Spoonbill,Platalea ajaja
_21,3280,WTKI,White-tailed Kite,Elanus leucurus
_21,3271,HBKI,Hook-billed Kite,Chondrohierax uncinatus
_21,3270,STKI,Swallow-tailed Kite,Elanoides forficatus
_21,3490,GOEA,Golden Eagle,Aquila chrysaetos
_21,3310,NOHA,Northern Harrier,Circus hudsonius
_21,3320,SSHA,Sharp-shinned Hawk,Accipiter striatus
_21,3321,PSSH,Puerto Rican Sharp-shinned Hawk,Accipiter striatus venator
_21,3330,COHA,Cooper's Hawk,Accipiter cooperii
_21,3340,NOGO,Northern Goshawk,Accipiter gentilis
_21,3520,BAEA,Bald Eagle,Haliaeetus leucocephalus
_21,3290,MIKI,Mississippi Kite,Ictinia mississippiensis
_21,3300,SNKI,Snail Kite,Rostrhamus sociabilis
_21,3450,CBHA,Common Black Hawk,Buteogallus anthracinus
_21,3431,ROHA,Roadside Hawk,Rupornis magnirostris
_21,3350,HRSH,Harris's Hawk,Parabuteo unicinctus
_21,3410,WTHA,White-tailed Hawk,Geranoaetus albicaudatus
_21,3460,GRHA,Gray Hawk,Buteo plagiatus
_21,3390,RSHA,Red-shouldered Hawk,Buteo lineatus
_21,3430,BWHA,Broad-winged Hawk,Buteo platypterus
_21,3432,PBWH,Puerto Rican Broad-winged Hawk,Buteo platypterus brunnescens
_21,3441,HWHA,Hawaiian Hawk,Buteo solitarius
_21,3440,STHA,Short-tailed Hawk,Buteo brachyurus
_21,3420,SWHA,Swainson's Hawk,Buteo swainsoni
_21,3400,ZTHA,Zone-tailed Hawk,Buteo albonotatus
