,SPECIES_ID,ALPHA_CODE,SPECIES_NAME,SCI_NAME,RECOMENDSIZE,ALLOWABLESIZE,ENDANGERED,RAPTOR,GAMEBIRD,BBL_GRP,COUNT(1)
602,4664,SWFL,Southwestern Willow Flycatcher,Empidonax traillii extimus,0   0A,0   0A   1C,Y,,,_24,3920
603,4670,LEFL,Least Flycatcher,Empidonax minimus,0A   0,0A   0   1C,,,,_24,181856
604,4680,HAFL,Hammond's Flycatcher,Empidonax hammondii,0A   0,0A   0   1C,,,,_24,18619
605,4691,GRFL,Gray Flycatcher,Empidonax wrightii,0A   0,0A   0   1C,,,,_24,3807
606,4690,DUFL,Dusky Flycatcher,Empidonax oberholseri,0A   0,0A   0   1C,,,,_24,33231
607,4641,PSFL,Pacific-slope Flycatcher,Empidonax difficilis,0A   0,0A   0   1C,,,,_24,24391
608,4649,WEFL,Western Flycatcher,Empidonax difficilis/ E. occidentalis,0A   0,0A   0   1C,,,,_24,41621
609,4640,COFL,Cordilleran Flycatcher,Empidonax occidentalis,0A   0,0A   0   1C,,,,_24,3100
610,4700,BBFL,Buff-breasted Flycatcher,Empidonax fulvifrons,0A   0,0A   0   1C,,,,_24,107
611,4679,UNEM,Unidentified Empidonax,Empidonax sp.,0A   0,0A   0,,,,_24,703
612,4580,BLPH,Black Phoebe,Sayornis nigricans,1   1C,1   1C   0   1B,,,,_24,11370
613,4560,EAPH,Eastern Phoebe,Sayornis phoebe,0   1C   1,0   1C   1   0A,,,,_24,115652
614,4570,SAPH,Say's Phoebe,Sayornis saya,1   1C,1   1C   0   1B,,,,_24,2870
615,4710,VEFL,Vermilion Flycatcher,Pyrocephalus rubinus,0   0A   1C   1,0   0A   1C   1,,,,_24,1221
616,8680,MIHO,Micronesian Honeyeater,Myzomela rubratra,1   1B,1   1B,,,,_24,670
617,8660,CAHO,Cardinal Honeyeater,Myzomela cardinalis,1   1C   0,1   1C   0,,,,_24,67
618,8670,WAHO,Wattled Honeyeater,Foulehaio carunculatus,1A   1D   2,1A   1D   2,,,,_24,1655
619,6300,BCVI,Black-capped Vireo,Vireo atricapilla,0   1C   0A   1,0   1C   0A   1,,,,_25,26905
620,6310,WEVI,White-eyed Vireo,Vireo griseus,0   0A,0   0A   1   1C,,,,_25,97003
621,9130,TBVI,Thick-billed Vireo,Vireo crassirostris,1C   1,1C   1   0,,,,_25,660
622,9132,JAVI,Jamaican Vireo,Vireo modestus,0,0,,,,_25,93
623,6331,PRVI,Puerto Rican Vireo,Vireo latimeri,0   1   1C,0   1   1C,,,,_25,543
624,6330,BEVI,Bell's Vireo,Vireo bellii,0,0   0A   1   1C,,,,_25,7785
625,6334,LBVI,Least Bell's Vireo,Vireo bellii pusillus,0   0A,0   0A,Y,,,_25,14678
626,6340,GRVI,Gray Vireo,Vireo vicinior,1   1C,1   1C   0,,,,_25,1141
627,6320,HUVI,Hutton's Vireo,Vireo huttoni,0,0   0A   1C,,,,_25,5002
628,6280,YTVI,Yellow-throated Vireo,Vireo flavifrons,1C   1,1C   1   0,,,,_25,6960
629,6292,CAVI,Cassin's Vireo,Vireo cassinii,1C   1   0,1C   1   0,,,,_25,6734
630,6290,BHVI,Blue-headed Vireo,Vireo solitarius,1C   1   0,1C   1   0,,,,_25,45684
631,6299,SOVI,Solitary Vireo,Vireo solitarius/ V. plumbeus,1C   1   0,1C   1   0,,,,_25,4453
632,6291,PLVI,Plumbeous Vireo,Vireo plumbeus,1C   1   0,1C   1   0,,,,_25,860
633,6260,PHVI,Philadelphia Vireo,Vireo philadelphicus,0   0A,0   0A   1   1C,,,,_25,33273
634,6270,WAVI,Warbling Vireo,Vireo gilvus,0   1C   1,0   1C   1   0A,,,,_25,92520
635,6240,REVI,Red-eyed Vireo,Vireo olivaceus,1C   1   0,1C   1   0   1B,,,,_25,331581
636,6250,YGVI,Yellow-green Vireo,Vireo flavoviridis,1   1C   0,1   1C   0,,,,_25,1214
637,6230,BWVI,Black-whiskered Vireo,Vireo altiloquus,1   1C,1   1C,,,,_25,2598
638,8690,RUFA,Rufous Fantail,Rhipidura rufifrons,0A   0,0A   0,,,,_25,4110
639,8740,BLDR,Black Drongo,Dicrurus macrocercus,2,2,,,,_25,1
640,8691,FISH,Fiji Shrikebill,Clytorhynchus vitiensis,1A   1B,1A   1B   1D   1P   2,,,,_25,126
641,8560,TIMO,Tinian Monarch,Monarcha takatsukasae,0   1C,0   1C,,,,_25,276
642,7702,KAEL,Kauai Elepaio,Chasiempis sclateri,1   0,1   0   0A,,,,_25,503
643,7701,OAEL,Oahu Elepaio,Chasiempis ibidis,1,1,Y,,,_25,646
644,7700,HAEL,Hawaii Elepaio,Chasiempis sandwichensis,1   0   1C,1   0   1C,,,,_25,2958
645,6211,BRSH,Brown Shrike,Lanius cristatus,1B   1A,1B   1A,,,,_25,3
646,6220,LOSH,Loggerhead Shrike,Lanius ludovicianus,1D   1A   2,1D   1A   2,Alberta   Manitoba   Ontario   Québec   Saskatchewan,,,_25,37073
647,6227,SLSH,San Clemente Loggerhead Shrike,Lanius ludovicianus mearnsi,1D   1A   2,1D   1A   2,Y,,,_25,3190
648,6210,NSHR,Northern Shrike,Lanius borealis,2   1D,2   1D,,,,_25,3535
649,4840,CAJA,Canada Jay,Perisoreus canadensis,3   2   2A,3   2   2A,,,,_25,9558
650,4832,BRJA,Brown Jay,Psilorhinus morio,4A   4   3A,4A   4   3A,,,,_25,11
651,4830,GREJ,Green Jay,Cyanocorax yncas,2   2A   3,2   2A   3,,,,_25,2563
652,4920,PIJA,Pinyon Jay,Gymnorhinus cyanocephalus,3   2   2A,3   2   2A   3A,,,,_25,10902
653,4780,STJA,Steller's Jay,Cyanocitta stelleri,3   2   3B,3   2   3B   3A,,,,_25,23014
654,4770,BLJA,Blue Jay,Cyanocitta cristata,2   3   2A,2   3   2A   3B,,,,_25,537474
655,4790,FLSJ,Florida Scrub-Jay,Aphelocoma coerulescens,3   2   2A,3   2   2A,Y,,,_25,33706
656,4811,ISSJ,Island Scrub-Jay,Aphelocoma insularis,3   3B,3   3B   3A,,,,_25,4010
657,4813,CASJ,California Scrub-Jay,Aphelocoma californica,3   2   2A,3   2   2A,,,,_25,2
658,4812,WOSJ,Woodhouse's Scrub-Jay,Aphelocoma woodhouseii,3   2   2A,3   2   2A   3B,,,,_25,4
659,4810,WESJ,Western Scrub-Jay,Aphelocoma californica,3   2   2A,3   2   2A   3B,,,,_25,15764
660,4820,MEJA,Mexican Jay,Aphelocoma wollweberi,3A   3B,3A   3B   3,,,,_25,4270
661,4910,CLNU,Clark's Nutcracker,Nucifraga columbiana,3   3B   3A,3   3B   3A,,,,_25,2426
662,4750,BBMA,Black-billed Magpie,Pica hudsonia,4   3A   3B,4   3A   3B   3   4A,,,,_25,16497
663,4760,YBMA,Yellow-billed Magpie,Pica nuttalli,3A,3A   3B   4,,,,_25,839
664,4880,AMCR,American Crow,Corvus brachyrhynchos,5   5A,5   5A   6,,,,_25,18963
665,4890,NOCR,Northwestern Crow,Corvus brachyrhynchos caurinus,4A   4,4A   4   5,,,,_25,1464
666,9107,JACR,Jamaican Crow,Corvus jamaicensis,6,6,,,,_25,3
667,4900,FICR,Fish Crow,Corvus ossifragus,4A   4,4A   4   5,,,,_25,2219
668,4892,HCRO,Hawaiian Crow,Corvus hawaiiensis,6,6,Y,,,_25,79
669,4870,CHRA,Chihuahuan Raven,Corvus cryptoleucus,5   5A,5   5A   6,,,,_25,1774
670,4860,CORA,Common Raven,Corvus corax,7A   6   7,7A   6   7   7B,,,,_25,16514
671,8570,MARC,Mariana Crow,Corvus kubaryi,4   4A,4   4A,Y,,,_25,245
672,7460,VERD,Verdin,Auriparus flaviceps,0A   0,0A   0,,,,_26,4518
673,7360,CACH,Carolina Chickadee,Poecile carolinensis,0   0A   1C,0   0A   1C   1,,,,_26,123609
674,7350,BCCH,Black-capped Chickadee,Poecile atricapillus,0   0A   1C   1,0   0A   1C   1,,,,_26,840048
675,7380,MOCH,Mountain Chickadee,Poecile gambeli,0   0A,0   0A   1   1C,,,,_26,57646
676,7370,MECH,Mexican Chickadee,Poecile sclateri,0   0A,0   0A,,,,_26,72
677,7410,CBCH,Chestnut-backed Chickadee,Poecile rufescens,0   0A,0   0A   1   1C,,,,_26,30249
