BAND,ORIGINAL_BAND,EVENT_TYPE,EVENT_DATE,EVENT_YEAR,ISO_COUNTRY,LAT_DD,LON_DD,CP,BAND_TYPE,SPECIES_ID,BIRD_STATUS,AGE_CODE,SEX_CODE,SPECIES_NAME,SCIENTIFIC_NAME,AGE_DESCRIPTION,SEX_DESCRIPTION
B49339748297,B49339748297,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B49339748053,B49339748053,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B99339748164,B99339748164,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B99339748038,B99339748038,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B39339743989,B39339743989,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B99339743993,B99339743993,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B39339743903,B39339743903,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B99339743919,B99339743919,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B99339743923,B99339743923,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
B39339743933,B39339743933,B,06/07/1970,1970,BS,21.08333,-73.41667,10.0,12,1820,3.0,4.0,0.0,American Flamingo,Phoenicopterus ruber,Local,Unknown
