BAND,ORIGINAL_BAND,EVENT_TYPE,EVENT_DATE,EVENT_YEAR,ISO_COUNTRY,LAT_DD,LON_DD,CP,BAND_TYPE,SPECIES_ID,BIRD_STATUS,AGE_CODE,SEX_CODE,SPECIES_NAME,SCIENTIFIC_NAME,AGE_DESCRIPTION,SEX_DESCRIPTION
B88830799618,B88830799618,B,11/05/2020,2020,US,39.91667,-75.41667,10.0,47,3720,3.0,2.0,4.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Male
B88810778887,B88810778887,B,11/06/2020,2020,US,40.91667,-75.25,10.0,W4,3720,3.0,1.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,After Hatching Year,Female
B88830387857,B88830387857,B,08/31/2020,2020,US,59.65833,-151.59167,1.0,47,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B38830387960,B38830387960,B,08/31/2020,2020,US,59.65833,-151.59167,1.0,47,3720,3.0,2.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Unknown
B88830387973,B88830387973,B,08/31/2020,2020,US,59.65833,-151.59167,1.0,47,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B08810737233,B08810737233,B,09/10/2020,2020,US,59.65833,-151.59167,1.0,W4,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B88362074166,B88362074166,B,09/11/2020,2020,US,59.65833,-151.59167,1.0,01,3720,3.0,2.0,4.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Male
B78362074057,B78362074057,B,09/11/2020,2020,US,59.65833,-151.59167,1.0,01,3720,3.0,2.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Unknown
B78362743086,B78362743086,B,09/11/2020,2020,US,59.65833,-151.59167,1.0,01,3720,3.0,2.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Unknown
B88810737297,B88810737297,B,09/11/2020,2020,US,59.65833,-151.59167,1.0,W4,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B88810737280,B88810737280,B,09/11/2020,2020,US,59.65833,-151.59167,1.0,W4,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B28810737271,B28810737271,B,09/11/2020,2020,US,59.65833,-151.59167,1.0,W4,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B78810737268,B78810737268,B,09/11/2020,2020,US,59.65833,-151.59167,1.0,W4,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B88810737210,B88810737210,B,09/11/2020,2020,US,59.65833,-151.59167,1.0,W4,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B68362074180,B68362074180,B,09/11/2020,2020,US,59.65833,-151.59167,1.0,01,3720,3.0,2.0,4.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Male
B68362074267,B68362074267,B,09/10/2020,2020,US,59.65833,-151.59167,1.0,01,3720,3.0,2.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Unknown
B18810737227,B18810737227,B,09/10/2020,2020,US,59.65833,-151.59167,1.0,W4,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B78362074293,B78362074293,B,09/10/2020,2020,US,59.65833,-151.59167,1.0,01,3720,3.0,2.0,4.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Male
B78810737247,B78810737247,B,09/10/2020,2020,US,59.65833,-151.59167,1.0,W4,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B38810737411,B38810737411,B,09/09/2020,2020,US,59.65833,-151.59167,1.0,W4,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B38810737258,B38810737258,B,09/10/2020,2020,US,59.65833,-151.59167,1.0,W4,3720,3.0,2.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Unknown
B88810737367,B88810737367,B,09/10/2020,2020,US,59.65833,-151.59167,1.0,W4,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B88810737373,B88810737373,B,09/10/2020,2020,US,59.65833,-151.59167,1.0,W4,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B18810737387,B18810737387,B,09/10/2020,2020,US,59.65833,-151.59167,1.0,W4,3720,3.0,2.0,5.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Female
B48362074148,B48362074148,B,09/10/2020,2020,US,59.65833,-151.59167,1.0,01,3720,3.0,2.0,4.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Male
B78362074134,B78362074134,B,09/10/2020,2020,US,59.65833,-151.59167,1.0,01,3720,3.0,2.0,4.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Male
B68362074102,B68362074102,B,09/10/2020,2020,US,59.65833,-151.59167,1.0,01,3720,3.0,2.0,0.0,Northern Saw-whet Owl,Aegolius acadicus,Hatching Year,Unknown
